student_id,course_id,subject,semester,section,final_grade,gender,course_interest,perceived_competence,utility_value
86580,BioA-S116-01,BioA,S116,1,83.16666667,M,5,4.5,5
86588,AnPhA-S116-01,AnPhA,S116,1,19.84,F,4.8,4.5,4
86608,AnPhA-S116-01,AnPhA,S116,1,79.8506672,M,3.6,4,2.666666667
86618,FrScA-S116-03,FrScA,S116,3,49.13013699,F,4.2,3.5,3.166666667
86627,FrScA-S116-02,FrScA,S116,2,61.2283105,F,3.6,3,3
86679,FrScA-S116-01,FrScA,S116,1,95.89041096,F,4.4,3.5,3.666666667
86689,OcnA-S116-02,OcnA,S116,2,60.40201005,M,NA,NA,NA
86697,OcnA-S216-02,OcnA,S216,2,90.07705193,M,5,4,3.333333333
86707,AnPhA-S116-02,AnPhA,S116,2,85.9093344,F,3.9,3.5,3.166666667
86709,FrScA-S116-01,FrScA,S116,1,95.66210046,F,NA,NA,NA
86758,OcnA-S116-01,OcnA,S116,1,94.61474037,F,4.2,4,3.666666667
86792,FrScA-S116-01,FrScA,S116,1,99.08675799,M,3,3,4
86793,FrScA-S116-01,FrScA,S116,1,96.34703196,F,4,3.5,3
86794,FrScA-S116-01,FrScA,S116,1,90.1826484,F,NA,NA,NA
86803,FrScA-S116-01,FrScA,S116,1,87.55707763,M,4.4,3.5,4.666666667
86815,FrScA-S116-01,FrScA,S116,1,83.33333333,F,4.6,3.5,4.333333333
86836,FrScA-S216-01,FrScA,S216,1,89.84198646,M,3.3,4,2.666666667
86836,OcnA-S116-01,OcnA,S116,1,NA,F,3.3,4,2.666666667
86882,FrScA-S116-03,FrScA,S116,3,80.3652968,F,4.2,4,4.333333333
86942,AnPhA-S216-01,AnPhA,S216,1,83.624,M,4.4,3.5,3.666666667
86943,OcnA-S116-01,OcnA,S116,1,73.07872697,F,5,5,4
87001,OcnA-S116-02,OcnA,S116,2,68.25795645,F,3.8,4.5,3.666666667
87010,FrScA-S116-01,FrScA,S116,1,88.01369863,F,4.7,3.5,4
87020,FrScA-S216-01,FrScA,S216,1,73.25056433,F,4.4,3,2.666666667
87027,FrScA-S116-01,FrScA,S116,1,78.76712329,F,4.3,3.5,4
